demand,hour,date
0.97,1,2083-01-01
0.92,2,2083-01-01
0.84,3,2083-01-01
0.82,4,2083-01-01
1.04,5,2083-01-01
1.37,6,2083-01-01
1.74,7,2083-01-01
2.02,8,2083-01-01
2.02,9,2083-01-01
2.18,10,2083-01-01
2.24,11,2083-01-01
2.18,12,2083-01-01
2.04,13,2083-01-01
1.97,14,2083-01-01
1.86,15,2083-01-01
1.86,16,2083-01-01
1.84,17,2083-01-01
2.08,18,2083-01-01
2.32,19,2083-01-01
2.36,20,2083-01-01
1.91,21,2083-01-01
1.54,22,2083-01-01
1.18,23,2083-01-01
1.01,24,2083-01-01
0.92,1,2083-01-02
0.93,2,2083-01-02
0.92,3,2083-01-02
0.86,4,2083-01-02
1.01,5,2083-01-02
1.41,6,2083-01-02
1.84,7,2083-01-02
2.0,8,2083-01-02
2.06,9,2083-01-02
2.17,10,2083-01-02
2.18,11,2083-01-02
1.9,12,2083-01-02
1.71,13,2083-01-02
1.67,14,2083-01-02
2.03,15,2083-01-02
1.93,16,2083-01-02
1.93,17,2083-01-02
2.15,18,2083-01-02
2.47,19,2083-01-02
2.35,20,2083-01-02
1.98,21,2083-01-02
1.55,22,2083-01-02
1.2,23,2083-01-02
1.04,24,2083-01-02
0.89,1,2083-01-03
0.86,2,2083-01-03
0.85,3,2083-01-03
0.87,4,2083-01-03
1.01,5,2083-01-03
1.28,6,2083-01-03
1.97,7,2083-01-03
2.14,8,2083-01-03
2.22,9,2083-01-03
2.32,10,2083-01-03
2.31,11,2083-01-03
2.24,12,2083-01-03
2.16,13,2083-01-03
2.19,14,2083-01-03
2.22,15,2083-01-03
2.17,16,2083-01-03
2.13,17,2083-01-03
2.28,18,2083-01-03
2.49,19,2083-01-03
2.45,20,2083-01-03
1.91,21,2083-01-03
1.52,22,2083-01-03
1.15,23,2083-01-03
0.95,24,2083-01-03
0.91,1,2083-01-04
0.84,2,2083-01-04
0.85,3,2083-01-04
0.81,4,2083-01-04
0.89,5,2083-01-04
1.32,6,2083-01-04
1.91,7,2083-01-04
2.18,8,2083-01-04
2.28,9,2083-01-04
2.11,10,2083-01-04
2.32,11,2083-01-04
2.31,12,2083-01-04
2.29,13,2083-01-04
2.2,14,2083-01-04
2.21,15,2083-01-04
2.06,16,2083-01-04
2.12,17,2083-01-04
2.2,18,2083-01-04
2.38,19,2083-01-04
2.29,20,2083-01-04
1.95,21,2083-01-04
1.46,22,2083-01-04
1.09,23,2083-01-04
0.96,24,2083-01-04
0.9,1,2083-01-05
0.87,2,2083-01-05
0.79,3,2083-01-05
0.82,4,2083-01-05
1.06,5,2083-01-05
1.31,6,2083-01-05
1.93,7,2083-01-05
2.1,8,2083-01-05
2.1,9,2083-01-05
2.24,10,2083-01-05
2.34,11,2083-01-05
2.32,12,2083-01-05
2.24,13,2083-01-05
2.24,14,2083-01-05
2.23,15,2083-01-05
2.15,16,2083-01-05
2.07,17,2083-01-05
2.26,18,2083-01-05
2.35,19,2083-01-05
2.3,20,2083-01-05
1.88,21,2083-01-05
1.5,22,2083-01-05
1.06,23,2083-01-05
0.94,24,2083-01-05
0.91,1,2083-01-06
0.84,2,2083-01-06
0.86,3,2083-01-06
0.86,4,2083-01-06
0.94,5,2083-01-06
1.39,6,2083-01-06
1.92,7,2083-01-06
2.1,8,2083-01-06
2.18,9,2083-01-06
2.26,10,2083-01-06
2.36,11,2083-01-06
2.3,12,2083-01-06
2.22,13,2083-01-06
2.24,14,2083-01-06
2.24,15,2083-01-06
2.13,16,2083-01-06
2.09,17,2083-01-06
2.31,18,2083-01-06
2.49,19,2083-01-06
2.35,20,2083-01-06
1.91,21,2083-01-06
1.52,22,2083-01-06
1.16,23,2083-01-06
1.0,24,2083-01-06
0.93,1,2083-01-07
0.93,2,2083-01-07
0.97,3,2083-01-07
0.9,4,2083-01-07
1.05,5,2083-01-07
1.44,6,2083-01-07
1.97,7,2083-01-07
2.13,8,2083-01-07
2.18,9,2083-01-07
2.38,10,2083-01-07
2.41,11,2083-01-07
2.35,12,2083-01-07
